route_distance,crow_distance,edges
1942,1492,"[22.032, 15.304, 46.377, 44.035, 5.185, 11.163, 6.052, 72.349, 51.846, 1.912, 4.909, 13.07, 6.213, 2.374, 12.836, 2.469, 3.424, 3.649, 22.125, 20.81, 4.887, 7.687, 7.534, 7.082, 6.924, 313.849, 8.304, 30.525, 12.376999999999999, 9.07, 6.362, 40.905, 61.606, 7.096, 14.108, 8.219, 16.195, 76.002, 6.261, 14.876000000000001, 8.498, 31.271, 33.757, 9.887, 26.418, 21.880000000000003, 38.935, 11.949, 81.547, 57.807, 70.28, 77.83399999999999, 12.667, 70.194, 77.488, 14.974, 4.943, 44.598, 4.033, 5.07, 33.537, 5.57, 43.632, 4.155, 89.411, 34.021]"
1616,1537,"[28.692, 141.997, 5.503, 159.847, 133.75699999999998, 31.805, 11.899999999999999, 8.753, 73.849, 8.368, 4.914, 138.81799999999998, 61.19, 4.868, 49.204, 64.309, 6.736, 10.816, 86.231, 5.382, 8.393, 82.872, 5.735, 5.031, 4.3, 121.581, 55.429, 4.183, 5.536, 109.958, 5.103, 4.583, 130.354, 8.732, 6.993, 20.605]"
1722,1312,"[35.271, 3.695, 4.08, 16.488, 8.855, 10.529, 87.28099999999999, 7.459, 6.319, 114.614, 5.13, 4.887, 20.81, 22.125, 3.649, 3.424, 2.469, 12.836, 2.374, 6.213, 13.07, 4.909, 1.912, 51.846, 72.349, 7.04, 10.837, 32.706, 3.148, 3.245, 2.467, 32.098, 15.008, 40.370000000000005, 7.337, 13.367, 59.255, 29.636, 5.443, 19.413, 92.09, 5.397, 77.83099999999999, 14.812, 8.3, 57.217, 129.308, 232.892, 69.07999999999998, 6.857, 3.756, 78.64099999999999, 2.137, 79.282, 9.18, 3.597, 47.664]"
1517,1206,"[33.906000000000006, 50.12, 9.899, 10.905, 50.473, 9.104, 114.573, 7.934, 72.599, 11.554, 11.045, 71.305, 9.488, 17.500999999999998, 47.06099999999999, 14.077, 6.782, 39.497, 14.546, 41.377, 8.727, 61.1, 54.114000000000004, 98.459, 13.945, 6.545, 137.00699999999998, 17.878, 18.978, 16.019, 33.638, 92.544, 21.01, 3.021, 13.043, 50.831, 11.253, 68.14399999999999, 4.189, 3.764, 5.614, 17.808, 15.299, 15.033000000000001, 7.966, 19.773, 24.99, 20.627, 11.979]"
891,678,"[36.172, 109.915, 5.612, 6.299, 9.328, 21.065, 7.075, 30.946, 5.094, 42.341, 4.794, 26.376, 5.07, 5.223, 22.305, 6.202, 10.012, 33.899, 47.705, 3.22, 6.542, 23.117, 58.732, 78.978, 65.956, 5.646, 43.578, 34.098, 2.564, 19.025, 16.732, 9.196, 1.414, 10.267, 1.881, 4.591, 6.949, 5.468, 21.764000000000003, 15.275, 1.816, 10.314, 8.542]"
695,471,"[5.363, 10.547, 14.326, 10.976, 36.849, 17.785, 11.0, 3.195, 9.147, 29.012, 12.897, 52.077, 6.127, 4.983, 1.62, 5.809, 5.379, 0.936, 27.518, 11.569, 4.625, 5.25, 6.688, 11.28, 2.257, 5.245, 20.159, 70.745, 6.127, 2.148, 9.61, 4.927, 4.378, 11.518, 3.464, 3.642, 4.723, 9.034, 7.43, 6.26, 0.624, 0.568, 5.582, 6.464, 62.526, 4.896, 5.528, 19.085, 28.188000000000002, 12.478000000000002, 22.924, 2.387, 25.19, 4.826, 4.813, 1.52, 11.218]"
2288,1838,"[13.959, 10.301, 10.774999999999999, 8.382, 19.021, 5.371, 35.73499999999999, 15.305, 16.385, 12.124, 47.104, 6.342, 5.576, 12.68, 14.681, 1.385, 17.431, 23.132, 6.503, 15.648, 17.846, 7.879, 12.72, 7.599, 7.248, 19.56, 17.427, 5.868, 4.25, 24.366, 5.459, 20.804, 21.649, 3.963, 4.964, 12.939, 9.216999999999999, 6.776, 11.81, 12.309, 42.212, 5.931, 15.487, 13.629, 3.868, 28.43, 19.989, 4.282, 4.103, 3.033, 35.958, 12.608, 13.322, 8.911, 7.884, 7.515, 16.047, 4.205, 86.18499999999999, 10.833, 15.157, 242.93499999999997, 13.795, 38.976, 25.21, 6.476, 16.126, 93.769, 3.54, 6.728, 33.767, 4.89, 9.406, 28.398, 47.24, 6.671, 4.815, 4.262, 14.727, 42.765, 25.095, 10.595, 5.33, 4.89, 5.744, 7.032, 4.743, 8.242, 4.732, 7.53, 1.69, 2.242, 2.532, 2.692, 8.788, 21.168, 9.344, 2.727, 8.138, 1.323, 6.8740000000000006, 5.785, 9.905, 2.051, 6.111, 3.475, 4.918, 3.785, 3.109, 3.13, 5.309, 8.131, 6.24, 6.286, 17.323, 5.861, 6.079, 5.89, 12.355, 1.723, 5.449, 5.961, 9.581, 8.414, 8.252, 18.876, 6.999, 10.242, 1.983, 3.726, 28.705, 29.912, 5.744, 15.501, 6.387, 2.864, 1.469, 3.086, 4.346, 4.337, 24.553, 3.253, 8.082, 15.043, 6.647, 9.16, 4.52, 10.917, 8.003, 8.686, 6.832, 12.845, 12.805, 11.842, 5.432, 19.215, 10.447, 3.649, 2.373, 4.325, 3.254, 10.261, 5.97, 6.716, 38.572, 3.873, 4.849, 38.305]"
2176,1848,"[101.447, 7.559, 13.004, 5.625, 2.481, 52.102000000000004, 11.098, 63.859, 8.133000000000001, 7.503, 8.784, 108.805, 8.762, 18.183, 75.13699999999999, 7.295, 16.058, 40.467, 13.937, 3.58, 61.018, 11.475, 90.725, 73.684, 4.996, 27.163, 14.441, 121.57900000000001, 12.709, 16.374, 70.478, 11.199, 14.424, 46.231, 16.438000000000002, 57.12199999999999, 1.179, 73.085, 7.957, 60.087999999999994, 34.697, 21.225, 29.033, 36.257999999999996, 86.467, 10.399, 77.32499999999999, 187.258, 11.212, 22.481, 99.43599999999999, 114.417, 10.137, 8.631, 12.605, 13.246, 17.63, 8.81, 8.596]"
2359,2049,"[11.321, 23.301, 4.477, 34.937, 13.521, 22.247, 11.456, 52.644000000000005, 10.63, 79.462, 10.523, 22.78, 3.925, 6.052, 52.974000000000004, 42.358, 6.591, 78.485, 49.831, 51.009, 81.25500000000001, 9.996, 8.794, 61.605000000000004, 41.673, 96.084, 66.255, 5.917, 6.548, 4.184, 188.116, 6.82, 47.254, 5.939, 67.841, 8.42, 12.804, 30.854999999999997, 66.042, 15.485, 24.522, 10.098, 100.306, 10.185, 9.035, 87.997, 8.464, 9.827, 82.41799999999999, 7.28, 7.459, 96.24099999999999, 16.5, 18.38, 9.131, 55.069, 6.16, 37.974, 35.559, 6.291, 6.601, 41.691, 43.477, 3.541, 33.224, 3.997, 8.08, 4.045, 19.416, 5.32, 4.984, 6.565, 6.047, 7.472, 105.655]"
1706,1342,"[25.433, 7.019, 46.010999999999996, 46.166, 8.336, 79.913, 43.631, 6.763, 101.072, 63.126000000000005, 13.056, 33.797000000000004, 89.139, 97.756, 163.032, 17.714, 81.67099999999999, 59.326, 128.78799999999998, 59.52600000000001, 4.524, 5.337, 9.038, 21.309, 32.019, 14.967, 22.951, 30.216, 3.888, 91.52600000000001, 27.213, 39.167, 7.774, 35.907, 5.173, 25.628, 31.998, 20.802, 7.133, 32.580999999999996, 36.829, 17.712, 11.437]"
